requirement_id	claim_sha256	formal_file	formal_declarations	implementation_refs	test_refs	test_classes	formal_status	conformance_status	notes
A-01	909a5f9234b99db72cea8b9980b3650a8a61877c3a40760d1cab6cc5f72bf3ae	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_requirements_decomposed	src/is/fivefivefive/CanDis/Section3AssuranceTraceability.java#validate	src/is/fivefivefive/CanDis/Section3AssuranceTraceabilityTest.java#main	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	PARTIAL	The checker binds the complete ordered scope to one matrix row per claim; independent review of atomic decomposition remains open
A-02	c1ded876435daca48744a1b141bf66415065abba3ba659fa581320ea81df24ad	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_code_or_unsupported_mapping	src/is/fivefivefive/CanDis/Section3AssuranceTraceability.java#validateReferences	src/is/fivefivefive/CanDis/Section3AssuranceTraceabilityTest.java#mutateAndExpect	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	PARTIAL	Paths and symbols are checked; explicit unsupported-boundary representation remains absent
A-03	fff646737cbb7dbdb5f75bab5bc5f3e7f01f2da1c9e3ea59aa2ee0bb5936a81d	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_three_test_classes	src/is/fivefivefive/CanDis/Section3AssuranceTraceability.java#splitSet	src/is/fivefivefive/CanDis/Section3AssuranceTraceabilityTest.java#mutateAndExpect	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	PARTIAL	Class labels are enforced; explicit expected-result and assertion reachability checks remain absent
A-04	c98b6507009801f2735a3d08e8aa29e7c4e80d1425a648b0c36aac4125849fc5	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_formal_evidence;missing_formal_evidence_blocks	src/is/fivefivefive/CanDis/Section3AssuranceTraceability.java#validateFormal	src/is/fivefivefive/CanDis/Section3AssuranceTraceabilityTest.java#mutateAndExpect	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	PARTIAL	Mapping and admission tokens are checked; pinned Lean execution and explicit-assumption extraction remain external
A-05	86e783075dd9bafe3760d434c763431608475f112661d14ccdea9e6aff3f0e09	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_direct_conformance	src/is/fivefivefive/CanDis/Section3AssuranceTraceability.java#validate	src/is/fivefivefive/CanDis/Section3AssuranceTraceabilityTest.java#mutateAndExpect	NOMINAL+BOUNDARY+ROBUSTNESS	PROVED	PARTIAL	DIRECT is enforced as a declared state; semantic reachability requires independent review
A-06	f7ae84f7871d28c56149b43098b4cfa18ff0fe252324b58743b9def2baf527ec	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_coverage_or_disposition	MISSING	MISSING	MISSING	PROVED	MISSING	Structural coverage and disposition ledger not implemented
A-07	a9fb89e85ccf809c3058227d73b62452b70468a4eae41d5dca0beceac2482484	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_coupling_evidence	MISSING	MISSING	MISSING	PROVED	MISSING	Coupling evidence matrix not implemented
A-08	0d9efe7d6ae991fc36b1d74bfcb961d49b31ff1870e38b95a3f8f0630a6ec135	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_resource_bounds	MISSING	MISSING	MISSING	PROVED	MISSING	Bounded runner and exhaustion classification not implemented
A-09	9c820e5c4cf94515e5ddef62b4aee2c21592505561e85abdb479ac1574530ea1	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_determinism_evidence	MISSING	MISSING	MISSING	PROVED	MISSING	Fresh-process deterministic evidence not implemented
A-10	d539e41d9d85920485e989ab8a23b148839d08a5f66e9faac8ef2b9ac160b39e	docs/section3-repair-audit/formal/AssuranceTraceability.lean	pass_implies_manifest_complete	MISSING	MISSING	MISSING	PROVED	MISSING	Canonical assurance manifest not implemented
